County,State,Population in 2010,Area (sq km),Total Utility PV Hydrogen Potential (kg/yr)
Pottawatomie,Kansas,21604,2235,991340241.4
Riley,Kansas,71115,1628,868968967.2
Osage,Kansas,16295,1870,2379033229
Butler,Kansas,65880,3743,5898245780
Cowley,Kansas,36311,2922,3275223154
Doniphan,Kansas,7945,1029,555396117.2
Atchison,Kansas,16924,1125,1031902255
Douglas,Kansas,110826,1234,1127856928
Jefferson,Kansas,19126,1439,1010742453
Johnson,Kansas,544179,1239,818363598.3
Leavenworth,Kansas,76227,1218,750920255.3
Wyandotte,Kansas,157505,403,104278150.3
Sedgwick,Kansas,498365,2616,4052038326
Johnson,Kentucky,23356,682,92922.62
Lawrence,Kentucky,15860,1093,90067.24
Pike,Kentucky,65024,2051,39421.72
Christian,Kentucky,73955,1875,1478992111
Knott,Kentucky,16346,916,0
Letcher,Kentucky,24519,879,0
Hancock,Kentucky,8565,508,215850781.4
Washington,Kentucky,11717,780,168223723.6
Henderson,Kentucky,46250,1203,1329830128
McLean,Kentucky,9531,663,721192115.4
Caldwell,Kentucky,12984,900,554907427.7
Hardin,Kentucky,105543,1633,1028527833
Meade,Kentucky,28602,827,481445010.6
Powell,Kentucky,12613,469,44919636.96
Anderson,Kentucky,21421,530,146370495.1
Webster,Louisiana,41207,1601,1387233959
Bienville,Louisiana,14353,2133,1403587569
De Soto,Louisiana,26656,2317,1986542656
Natchitoches,Louisiana,39566,3366,2500373759
Red River,Louisiana,9091,1043,1076828730
Sabine,Louisiana,24233,2617,1338404832
Vernon,Louisiana,52334,3475,2736585759
Avoyelles,Louisiana,42073,2236,1841911288
Catahoula,Louisiana,10407,1918,1766296770
Concordia,Louisiana,20822,1915,1558421825
Morehouse,Louisiana,27979,2074,2658227210
Ouachita,Louisiana,153720,1638,924073212.9
Berkshire,Massachusetts,131219,2460,74400545.02
Barnstable,Massachusetts,215888,1110,81225176.94
Nantucket,Massachusetts,10172,147,61668263.22
Hampden,Massachusetts,463490,1640,59180176.76
Norfolk,Massachusetts,670850,1057,49971028.82
Bristol,Massachusetts,548285,1483,471811792.8
Dukes,Massachusetts,16535,291,127276588.5
Plymouth,Massachusetts,494919,1808,515529480
Franklin,Massachusetts,71372,1876,71899307.66
Hampshire,Massachusetts,158080,1412,117932886.4
Worcester,Massachusetts,798552,4088,117387717
Essex,Massachusetts,743159,1345,124391483.8
Middlesex,Massachusetts,1503085,2197,120422411.5
Livingston,Michigan,180967,1522,987743543.3
Oakland,Michigan,1202362,2358,555250420.3
Tuscola,Michigan,55729,2106,2422403154
Dickinson,Michigan,26168,2005,749591255.7
Ozark,Missouri,9723,1957,25364244.64
Marquette,Michigan,67077,4853,1890849859
Menominee,Michigan,24029,2718,1091339945
Alcona,Michigan,10942,1803,974245456.1
Alger,Michigan,9601,2453,1522976920
Antrim,Michigan,23580,1357,477441505.7
Charlevoix,Michigan,25949,1188,139694461.3
Cheboygan,Michigan,26152,2055,963759957.5
Emmet,Michigan,32694,1261,395632787.2
Luce,Michigan,6631,2404,1174911387
Mackinac,Michigan,11113,2769,1376145285
Presque Isle,Michigan,13376,1784,966928942.9
Washington,Minnesota,238136,1118,714220974.5
Pike,Missouri,18516,1758,1338522477
Montgomery,Missouri,12236,1402,1272194320
Warren,Missouri,32513,1147,547290905.3
Jefferson,Missouri,218733,1719,119498295.8
St. Charles,Missouri,360485,1536,977522185.8
St. Louis,Missouri,998954,1346,163527102.9
Watonwan,Minnesota,11211,1135,1608070237
Cole,Missouri,75990,1018,200773249.3
Callaway,Missouri,44332,2208,1630560266
Chariton,Missouri,7831,1995,2003998749
Marion,Missouri,28781,1153,1031128852
Ralls,Missouri,10167,1257,1145748994
Schuyler,Missouri,4431,792,474587358.9
Newton,Missouri,58114,1632,1361328539
Benton,Missouri,19056,1945,841961488.5
Henry,Missouri,22272,1898,1972992203
Johnson,Missouri,52595,2158,2214094203
Lafayette,Missouri,33381,1649,1378141534
Morgan,Missouri,20565,1587,621345147.7
Lawrence,Missouri,38634,1589,1413209210
Gasconade,Missouri,15222,1345,297874353.3
Maries,Missouri,9176,1374,263012754.2
Howell,Missouri,40400,2431,864738207
Franklin,Missouri,101492,2399,441072114.1
Lincoln,Missouri,52566,1664,1233225034
Ste. Genevieve,Missouri,18145,1324,202673018.8
St. Francois,Missouri,65359,1177,331738717.7
Butler,Missouri,42794,1812,1675295960
Scott,Missouri,39191,1107,1367065616
Stoddard,Missouri,29968,2152,2718048201
Mississippi,Missouri,14358,1108,1588185737
Dunklin,Missouri,31953,1417,1907478915
Rio Arriba,New Mexico,40246,15194,2764630217
New York,New York,1585873,71,0
Vance,North Carolina,45422,697,524842432.7
Warren,North Carolina,20972,1150,870123154.4
Gates,North Carolina,12197,884,1123329921
Washington,North Carolina,13228,971,993002108.1
Chowan,North Carolina,14793,444,622416203.7
Jones,North Carolina,10153,1216,1444305452
Yadkin,North Carolina,38406,866,239141321.1
Henderson,North Carolina,106740,968,104057818.8
Graham,North Carolina,8861,783,0
Swain,North Carolina,13981,1401,0
Buncombe,North Carolina,238318,1708,15678024.72
Macon,North Carolina,33922,1342,620215.34
Brown,Ohio,44846,1282,1148008468
Clermont,Ohio,197363,1189,826576230.8
Mahoning,Ohio,238823,1103,713740756.1
Summit,Ohio,541781,1084,127582121
Geauga,Ohio,93389,1058,704171299.8
Gallia,Ohio,30934,1228,78820595.48
Northampton,Pennsylvania,297735,979,145631561.9
Montour,Pennsylvania,18267,344,88108446.28
Fulton,Pennsylvania,14845,1143,9471359.7
Jefferson,Pennsylvania,45200,1699,48201935.22
Lee,South Carolina,19220,1070,1063198077
Newberry,South Carolina,37508,1669,1035032031
Oconee,South Carolina,74273,1746,162823544.5
Colleton,South Carolina,38892,2746,2635943265
Chester,Tennessee,17131,748,512492779.6
Van Buren,Tennessee,5548,710,237344671.7
Lake,Minnesota,10866,5956,3683756167
Essex,Virginia,11151,674,551461542
Newport News,Virginia,180719,179,31518780.02
Amherst,Virginia,32353,1230,24829806.6
Prince William,Virginia,402002,887,337592475.6
Fauquier,Virginia,65203,1692,748270088.7
Spotsylvania,Virginia,122397,1081,614303749.5
Simpson,Mississippi,27503,1537,1258323017
Stafford,Virginia,128961,703,215815830.9
Westmoreland,Virginia,17454,598,536014897.6
Colonial Heights,Virginia,17411,24,40742433.5
Brunswick,Virginia,17434,1482,1270305679
Albemarle,Virginia,98970,1874,260965853.7
Highland,Virginia,2321,1087,6582215.48
Teton,Montana,6073,5948,4631782043
Klickitat,Washington,20318,4887,985478254.5
Snohomish,Washington,713335,5451,460200007.6
Mason,Washington,60699,2512,475379092.2
Skamania,Washington,11066,4336,76978889.46
Spokane,Washington,471221,4606,1920641330
Walla Walla,Washington,58781,3346,996769634.9
Okanogan,Washington,41120,13756,431643963.4
Raleigh,West Virginia,78859,1581,10134413.92
St. Louis,Minnesota,200226,17455,12748317451
Dakota,Minnesota,398552,1505,1251323268
Mason,West Virginia,27324,1141,85307521.74
Pocahontas,West Virginia,8719,2443,28409394.68
Gilmer,West Virginia,8693,878,0
Jefferson,West Virginia,53498,551,345812163.5
Somerset,New Jersey,323444,785,263279767.7
Sierra,New Mexico,11988,10987,9248740171
Athens,Ohio,64757,1318,43312710.34
Medina,Ohio,172332,1095,906336935.5
Hamilton,Ohio,802374,1072,107661238.4
Snyder,Pennsylvania,39702,870,57338157.18
Huntingdon,Pennsylvania,45913,2314,74829774.28
Clarion,Pennsylvania,39988,1565,132741139.6
Greene,Pennsylvania,38686,1499,11438024.18
Adams,Pennsylvania,101407,1353,713135271.8
Providence,Rhode Island,626667,1118,89712096.4
Williamsburg,South Carolina,34423,2426,2561189512
Wright,Minnesota,124700,1835,1927928975
Winona,Minnesota,51461,1647,539856925.6
Roseau,Minnesota,15629,4341,4698110200
Galax,Virginia,7042,24,0
Marshall,Mississippi,37144,1831,1549739391
Madison,Mississippi,95203,1912,1931422865
Genesee,New York,60079,1275,1222012677
Morgan,Ohio,15054,1093,9953841.98
Baker,Oregon,16134,8018,918942832.8
Union,Pennsylvania,44947,817,138548891.9
Franklin,Pennsylvania,149618,2001,656182480.8
Berks,Pennsylvania,411442,2244,297191919.3
Blair,Pennsylvania,127089,1362,68417670.46
Union,South Dakota,14399,1204,1213610847
Cameron,Texas,406220,2463,2690327893
Washington,Texas,33718,1615,1551137467
Kendall,Texas,33410,1722,347157344.3
Wayne,Utah,2778,6392,1903171866
Monongalia,West Virginia,96189,958,785573.16
Clark,Wisconsin,34690,3157,3714857624
Vernon,Wisconsin,29773,2113,101591201
Dunn,Wisconsin,43857,2236,1059917023
Worth,Missouri,2171,701,320277611.7
Christian,Missouri,77422,1468,371917320
Webster,Missouri,36202,1539,514526194.1
Bates,Missouri,17049,2207,2613735085
Camden,Missouri,44002,1850,97609265.02
Audrain,Missouri,25529,1800,2523810935
Fallon,Montana,2890,4198,1947959061
McCone,Montana,1734,6962,2094585257
Powder River,Montana,1743,8532,1848429646
Prairie,Montana,1179,4535,1461171753
Carter,Montana,1160,8661,7325495238
Yellowstone,Montana,147972,6846,3119335903
Gallatin,Montana,89513,6848,1517031327
Cherry,Nebraska,5713,15509,10077441990
Boyd,Nebraska,2099,1404,876018347.5
Brown,Nebraska,3145,3170,3155139884
Holt,Nebraska,10435,6261,8985821840
Grand Forks,North Dakota,66861,3721,5496597211
Union,Iowa,12534,1103,723746522.2
Emmet,Iowa,10302,1051,1450772561
Hancock,Iowa,11341,1493,2214197893
Story,Iowa,89542,1487,2009129497
Fillmore,Nebraska,5890,1495,2497386366
Deuel,Nebraska,1941,1137,1731084757
Stanton,Nebraska,6129,1114,599385934.1
Sherman,Texas,3034,2395,3870737430
Dickinson,Iowa,16667,1057,1378921853
Fayette,Alabama,17241,1631,271922302.4
Wilcox,Alabama,11670,2357,1668761566
Butler,Alabama,20947,2012,1755534023
Autauga,Alabama,54571,1562,637326754.3
Conecuh,Alabama,13228,2213,1744162127
Dallas,Alabama,43820,2580,1977991898
Elmore,Alabama,79303,1693,1125371992
Escambia,Alabama,38319,2450,2221977038
Lowndes,Alabama,11299,1881,1669715617
Franklin,Alabama,31704,1674,603174817.6
Winston,Alabama,24484,1637,116559757.6
Chilton,Alabama,43643,1810,795712184.6
Shelby,Alabama,195085,2086,818438437.8
Talladega,Alabama,82291,1988,974961146.8
Chambers,Alabama,34215,1556,993046949.3
Lamar,Alabama,14564,1565,342205578.4
Greene,Alabama,9045,1707,1262086662
Hale,Alabama,15760,1698,1037594792
Pickens,Alabama,19746,2294,1302935454
Sumter,Alabama,13763,2366,2022389084
Tuscaloosa,Alabama,194656,3501,648902238.7
Sutter,California,94737,1577,2518513246
Mariposa,California,18251,3791,106497006.7
Kern,California,839631,21119,17368803956
Mendocino,California,87841,9132,372315971
San Benito,California,55269,3603,501479205.4
Lassen,California,34895,12267,6077466750
Marion,Alabama,30776,1922,358615962.2
Colbert,Alabama,54428,1619,817527335.6
Coffee,Alabama,49948,1760,874435819.1
Ketchikan Gateway,Alaska,13477,3259,7671308.6
Santa Clara,California,1781642,3356,221544953.6
Del Norte,California,28610,2642,134659840.3
Merced,California,255793,5099,5944609988
Lake,California,64665,3446,268629341.1
Napa,California,136484,2035,346943047.7
Siskiyou,California,44900,16440,4195624850
San Diego,California,3095313,11026,1392971675
Marin,California,252409,1370,87280305.12
Bibb,Alabama,22915,1621,308344395.9
Columbia,Arkansas,24552,1980,2399799127
Clay,Alabama,13932,1569,219863713.1
Bradley,Arkansas,11508,1695,1845263400
Calhoun,Arkansas,5368,1633,1987722608
Drew,Arkansas,18509,2158,2745705125
Union,Arkansas,41639,2728,2367043668
Chicot,Arkansas,11800,1788,1983427343
Randolph,Alabama,22913,1508,189676535.7
Pike,Arkansas,11291,1589,560469272.5
Independence,Arkansas,36647,1999,1040502797
Jefferson,Arkansas,77435,2364,2855635695
Lincoln,Arkansas,14134,1505,1913335000
Stone,Arkansas,12394,1564,39825863.08
White,Arkansas,77076,2697,2317727770
Lonoke,Arkansas,68356,2088,2686896702
Prairie,Arkansas,8715,1750,2162437088
Geneva,Alabama,26790,1498,1555894309
Henry,Alabama,17302,1455,709190277.9
Houston,Alabama,101547,1497,1610498541
Barbour,Alabama,27457,2328,1076694414
Bullock,Alabama,10914,1623,1610237900
Lee,Alabama,140247,1593,835923024
Macon,Alabama,21452,1588,1519346249
Lawrence,Alabama,34339,1862,1562048617
Bethel,Alaska,17013,108795,9534071285
Denali,Alaska,1826,30804,3208070051
Bristol Bay,Alaska,997,1301,635591719.1
Saline,Arkansas,107118,1890,792539044.7
Baxter,Arkansas,41513,1511,20524479.16
Conway,Arkansas,21273,1474,888627331.4
Fulton,Arkansas,12245,1614,156424474.2
Izard,Arkansas,13696,1523,158809503
Marion,Arkansas,16653,1653,22396755.74
Poinsett,Arkansas,24583,1984,2668784331
Randolph,Arkansas,17969,1698,848807740.6
Arkansas,Arkansas,19019,2677,2720988658
Desha,Arkansas,13008,2122,2043635470
Lee,Arkansas,10424,1597,1989231071
Monroe,Arkansas,8149,1599,1584342699
Phillips,Arkansas,21757,1877,2330074830
Madera,California,150865,5569,4085411983
Tuolumne,California,55365,5884,65033805.8
Santa Cruz,Arizona,47420,3225,775348713.6
Coconino,Arizona,134421,48319,39998288214
La Paz,Arizona,20489,11667,12965154233
Yuma,Arizona,195751,14316,18284289124
Gila,Arizona,53597,12374,654169205.5
Graham,Arizona,37220,12089,6739326163
Newton,Arkansas,8330,2129,15425112.8
Yolo,California,200849,2642,3331840894
Kings,California,152982,3592,5994029455
Sierra,California,3240,2481,314613862.1
Los Angeles,California,9818605,10562,3568954734
Boone,Arkansas,36903,1557,79631341.22
Monterey,California,415057,8606,1755710047
Mono,California,14202,8118,1286461956
San Luis Obispo,California,269637,8561,1426237857
Montgomery,Arkansas,9487,2081,379799300.9
Santa Barbara,California,423895,7123,819655060.3
Fresno,California,930450,15580,12157864277
Tulare,California,442179,12555,6937313245
Alpine,California,1175,1918,9238211.8
Ventura,California,823318,4817,544235976.6
Contra Costa,California,1049025,1897,568625120.6
Cleburne,Arkansas,25970,1536,307570836
Dallas,Arkansas,8116,1735,1647893502
Searcy,Arkansas,8195,1732,47048397.34
Sacramento,California,1418788,2562,2842698664
Butte,California,220000,4345,2839221749
San Francisco,California,805235,122,41974.52
Modoc,California,9686,10882,9983412270
Cross,Arkansas,17870,1611,2153403362
Lawrence,Arkansas,17415,1555,1663643191
Woodruff,Arkansas,7260,1539,1922409461
Little River,Arkansas,13171,1465,1941688738
Crawford,Arkansas,61948,1568,464993382.2
Humboldt,California,134623,9304,361158425.2
Santa Cruz,California,262382,1167,71316701.66
Polk,Arkansas,20662,2238,472456620.3
Benton,Arkansas,221339,2264,943784757.7
Franklin,Arkansas,18125,1607,623656289.8
Johnson,Arkansas,25540,1763,335913695.4
Madison,Arkansas,15717,2174,76800973.36
Washington,Arkansas,203065,2472,672478201.9
Howard,Arkansas,13789,1542,906031321.7
Archuleta,Colorado,12084,3498,101648187
New London,Connecticut,274055,1780,111688418.2
Windham,Connecticut,118428,1352,53747421.24
Tolland,Connecticut,152691,1079,54007404.3
Hartford,Connecticut,894014,1944,230207009.9
Fairfield,Connecticut,916829,1686,12581584.86
New Castle,Delaware,538479,1260,703143718.8
Mineral,Colorado,712,2268,46470038.04
Ouray,Colorado,4436,1398,57615792.9
Sussex,Delaware,197145,2483,3180689891
Yuma,Colorado,10043,6152,10220980343
Chaffee,Colorado,17809,2632,167017795.3
District of Columbia,District of Columbia,601723,156,168800
Teller,Colorado,23350,1459,16947896.22
Seminole,Florida,422718,897,205122662.2
Charlotte,Florida,159978,1837,876608048.5
Miami-Dade,Florida,2496435,5142,510870433
Palm Beach,Florida,1320134,5743,3692942400
Glades,Florida,12884,2558,2355304294
Highlands,Florida,98786,2869,2809819434
Kit Carson,Colorado,8270,5605,10424430027
Logan,Colorado,22709,4797,8128598015
Morgan,Colorado,28159,3356,5771841379
Okeechobee,Florida,39996,2302,2079185670
Martin,Florida,146318,1713,1057681689
Sedgwick,Colorado,2379,1432,2562006861
St. Lucie,Florida,277789,1504,1343659192
Wakulla,Florida,30776,1596,1071229929
Gadsden,Florida,46389,1371,871211232.9
Clay,Florida,190865,1628,1628016050
St. Johns,Florida,190039,1577,1289321486
Dixie,Florida,16422,1841,1485397752
Duval,Florida,864263,1966,935072583.2
Lake,Florida,297052,3007,1818912818
Nassau,Florida,73314,1685,1770716427
Jefferson,Florida,14761,1587,1219452121
Sumter,Florida,93420,1503,1263155978
Lafayette,Florida,8870,1419,1256791616
Leon,Florida,275487,1822,1159111606
Taylor,Florida,22570,2713,2351308300
Baker,Florida,27115,1527,1578210972
Rio Grande,Colorado,11982,2380,1337621914
Suwannee,Florida,41551,1799,2738397381
Union,Florida,15535,651,771801583
Columbia,Florida,67531,2073,2398009054
Alachua,Florida,247336,2507,2970212037
Marion,Florida,331298,4314,4987841291
Pasco,Florida,464697,1978,988361290.7
Putnam,Florida,74364,2011,1927225048
Hendry,Florida,39140,3089,3112231567
Bent,Colorado,6499,4001,6766821584
Monroe,Florida,73090,2715,0
Orange,Florida,1145956,2598,916884494.8
Banks,Georgia,18395,605,45521688.42
Barrow,Georgia,69367,421,145872861.5
Cheyenne,Colorado,1836,4616,8900132343
Santa Rosa,Florida,151372,2658,2308809876
Floyd,Georgia,96317,1346,665399027.6
Walker,Georgia,68756,1160,348721345.3
Fulton,Georgia,920581,1382,106519842.6
Chattooga,Georgia,26015,812,257633887
Gilmer,Georgia,28292,1118,2021957
Cobb,Georgia,688078,895,34013461.12
Clayton,Georgia,259424,375,55526516.64
Henry,Georgia,203922,839,354165116.8
Prowers,Colorado,12551,4242,7506855933
Litchfield,Connecticut,189927,2455,33624526.42
Middlesex,Connecticut,165676,993,28412634.52
New Haven,Connecticut,862477,1605,22618862.34
DeSoto,Florida,34862,1654,1891397337
Hillsborough,Florida,1229226,2759,1245345555
Rockdale,Georgia,85215,343,38749487.14
Glascock,Georgia,3082,374,179238191.2
Richmond,Georgia,200549,850,277923046.8
Taliaferro,Georgia,1717,506,304187772.5
Warren,Georgia,5834,743,654491788.3
Whitfield,Georgia,102599,755,336755871.9
Rabun,Georgia,16276,979,7660697.26
Clarke,Georgia,116714,313,57137555.26
Oconee,Georgia,32808,483,233320491.2
Oglethorpe,Georgia,14899,1144,682711673.4
Lincoln,Georgia,7996,673,397858450.6
Putnam,Georgia,21218,934,340381697.3
Monroe,Georgia,26424,1028,342386534.6
Hardee,Florida,27731,1653,1717413002
Lee,Florida,618754,2132,477640222.3
Manatee,Florida,322833,1956,1429673180
Polk,Florida,602095,5214,3598216425
Collier,Florida,321520,5327,835001592
Broward,Florida,1748066,3174,146926373.7
Escambia,Florida,297619,1775,973614273.5
Walton,Florida,55043,2773,2452014852
Washington,Florida,24896,1592,1340538695
Bay,Florida,168852,1972,1754923571
Calhoun,Florida,14625,1489,1530015567
Gulf,Florida,15863,1512,872447372.8
Jackson,Florida,49746,2476,2771333965
Franklin,Florida,11549,1433,199488480.1
Bleckley,Georgia,13063,568,677423225.5
Nez Perce,Idaho,39265,2209,70519113.1
Lewis,Idaho,3821,1240,272975127.3
Ada,Idaho,392365,2716,1486582740
Shoshone,Idaho,12765,6817,7400133.32
Benewah,Idaho,9285,2037,123761825.1
Valley,Idaho,9862,9672,603137449.9
Payette,Idaho,22623,1062,540236196.5
Jenkins,Georgia,8340,914,1021784245
Screven,Georgia,14593,1700,1852826961
Macon,Georgia,14740,1046,961763178.4
Jeff Davis,Georgia,15068,867,1048410789
Catoosa,Georgia,63942,423,175350756.4
Wilcox,Georgia,9255,992,1243923024
Dade,Georgia,16633,452,74801653.88
Haralson,Georgia,28780,733,111653203
Polk,Georgia,41475,803,352622533.5
Pickens,Georgia,29431,602,12907644.94
Paulding,Georgia,142324,821,124104740.8
Webster,Georgia,2799,544,288548327.7
Heard,Georgia,11834,784,154997747
Troup,Georgia,67044,1158,418366799
Miller,Georgia,6125,735,1051313189
Lamar,Georgia,18317,482,380747115.3
Schley,Georgia,5010,438,262786806.5
Bartow,Georgia,100157,1220,454637639
Honolulu,Hawaii,953207,1581,55633057.66
Boundary,Idaho,10972,3312,391299094.2
Lemhi,Idaho,7936,11840,1012582691
Oneida,Idaho,4286,3126,1066337592
Power,Idaho,7817,3733,1905416207
Blaine,Idaho,21376,6906,2976453439
Camas,Idaho,1117,2781,1234516869
Lincoln,Idaho,5208,3110,4178050302
Minidoka,Idaho,20069,1982,2622500431
Twin Falls,Idaho,77230,5001,4404721231
Clark,Idaho,982,4570,2955461983
Fremont,Idaho,13242,4908,3601400459
Jefferson,Idaho,26140,2860,4332696489
Lawrence,Illinois,16833,966,1254645983
Stephenson,Illinois,47711,1457,1246603329
Clark,Illinois,16335,1313,1581806783
Calhoun,Illinois,5089,731,162645573.3
Massac,Illinois,15429,634,634179080.6
Henderson,Illinois,7331,1027,1153484533
Warren,Illinois,17707,1402,1814430709
McDonough,Illinois,32612,1522,1966528160
Morgan,Illinois,35547,1490,1843517752
Scott,Illinois,5355,653,715058696
Union,Illinois,17808,1098,466574513.6
Bond,Illinois,17768,991,1279134076
Jefferson,Illinois,38827,1505,1837637691
Marion,Illinois,39437,1488,2035552641
Hamilton,Illinois,8457,1126,1397794764
Wayne,Illinois,16760,1861,2555249188
Cumberland,Illinois,11048,901,1174299545
Effingham,Illinois,34242,1248,1568162184
Jasper,Illinois,9698,1291,1737369196
Hardin,Illinois,4320,471,123345257.3
Saline,Illinois,24913,1000,1201364650
Iroquois,Illinois,29718,2905,4111552038
Macon,Illinois,110768,1524,1938704397
Vermilion,Illinois,81625,2344,3060701941
De Witt,Illinois,16561,1047,1453212223
Logan,Illinois,30305,1607,2234753867
Champaign,Illinois,201081,2583,3513218444
Coles,Illinois,53873,1325,1699410853
Douglas,Illinois,19980,1080,1536319318
Ford,Illinois,14081,1258,1860358421
Moultrie,Illinois,14846,889,1221759279
Piatt,Illinois,16729,1142,1651551620
Edgar,Illinois,18576,1614,2256909620
Carroll,Illinois,15387,1213,871991186.5
Marshall,Illinois,12640,1036,1212089469
Putnam,Illinois,6006,441,405440663.6
Boone,Illinois,54165,733,933306687.7
Stark,Illinois,5994,748,970910280.9
Kendall,Illinois,114736,837,1083615290
Johnson,Indiana,139654,825,951062343.6
Clay,Indiana,26890,926,1192195274
Lake,Indiana,496005,1302,1066558462
Gibson,Indiana,33503,1290,1476985196
Knox,Indiana,38440,1371,1634850913
Pike,Indiana,12845,883,895430772.9
Spencer,Indiana,20952,1051,1024529502
Switzerland,Indiana,10613,581,250018226.3
Decatur,Indiana,25740,969,1223077529
Ripley,Indiana,28818,1153,1161298023
Bartholomew,Indiana,76794,1063,1125625358
Brown,Indiana,15242,821,98587948.12
Greene,Indiana,33165,1396,995178489.6
Owen,Indiana,21575,1003,493605438.7
Martin,Indiana,10334,886,203135184.7
Lawrence,Indiana,46134,1185,476429569.5
Orange,Indiana,19840,1048,305196841.9
Osceola,Iowa,6462,1046,1555417185
Vigo,Indiana,107848,1067,1133778842
Plymouth,Iowa,24986,2239,1481618508
Menifee,Kentucky,6306,534,6018851.22
Franklin,Indiana,23087,1016,649446967.3
Rockcastle,Kentucky,17056,821,63446435.36
Carroll,Indiana,20155,969,1289227249
Benton,Indiana,8854,1050,1569079503
Newton,Indiana,14244,1045,1513946912
Clinton,Indiana,33224,1044,1490753132
Boone,Indiana,56640,1101,1549296024
Howard,Indiana,82752,765,1047987328
Tipton,Indiana,15936,672,928137261.8
Montgomery,Indiana,38124,1312,1748355234
Hancock,Indiana,70002,793,1087164722
Shelby,Indiana,44436,1068,1507246630
Jasper,Indiana,33478,1445,2036236645
Pulaski,Indiana,13402,1125,1567032166
Starke,Indiana,23363,809,1089482240
Mercer,New Jersey,366513,590,251908042.8
Cass,Indiana,38966,1066,1388651020
Fulton,Indiana,20836,961,1293479561
Kosciusko,Indiana,77358,1440,1827361786
Marshall,Indiana,47051,1165,1553800951
Miami,Indiana,36903,981,1221271617
Wabash,Indiana,32888,1090,1389062741
DeKalb,Indiana,42223,943,1249687841
Huntington,Indiana,37124,1005,1219056756
Noble,Indiana,47536,1084,1318864906
Whitley,Indiana,33292,876,1166746163
Adams,Indiana,34387,880,1300390687
Fayette,Indiana,24277,557,551690445.2
Menominee,Wisconsin,4232,946,564690129.8
Henry,Indiana,49462,1018,1363576042
Rush,Indiana,17392,1061,1570648139
Blackford,Indiana,12766,427,653027039.7
Big Horn,Wyoming,11668,8176,3356218732
Weston,Wyoming,7208,6231,3784614178
Niobrara,Wyoming,2484,6827,3678512726
Lincoln,Wyoming,18106,10595,2795678891
Sweetwater,Wyoming,43806,27170,24542893273
Park,Wyoming,28205,18026,2608369199
Uinta,Wyoming,21118,5397,2753908023
Converse,Wyoming,13833,11021,4817639997
Goshen,Wyoming,13249,5768,6095675015
Campbell,Wyoming,46133,12431,4977405380
Washakie,Wyoming,8533,5850,1092974026
Crook,Wyoming,7083,7422,2906090347
Laramie,Wyoming,91738,6938,7405581863
Platte,Wyoming,8667,5472,2782340022
Chippewa,Minnesota,12441,1536,2058732574
Delaware,Indiana,117671,1029,1287092447
Grant,Indiana,70061,1081,1422119424
Jay,Indiana,21253,990,1487636619
Randolph,Indiana,26171,1169,1693695796
Wayne,Indiana,68917,1047,1259031658
Elkhart,Indiana,197559,1211,1105761254
LaGrange,Indiana,37128,1001,1088690586
Steuben,Indiana,34185,836,771269501.6
Cherokee,Iowa,12072,1493,1684973848
Haskell,Kansas,4256,1494,2804915821
Manassas Park,Virginia,14273,7,643533.84
Mills,Iowa,15059,1133,610501797.4
Bourbon,Kentucky,19985,756,615465890.1
Clark,Kentucky,35613,659,251794932.3
Estill,Kentucky,14672,663,42155893.12
Breathitt,Kentucky,13878,1283,5631.68
Elliott,Kentucky,7852,606,0
Magoffin,Kentucky,13333,803,0
Page,Iowa,15932,1381,853461067
Morgan,Kentucky,13923,995,1675422.92
Rowan,Kentucky,23333,740,29200227.88
Harlan,Kentucky,29278,1210,166134.38
Leslie,Kentucky,11310,1050,0
Montgomery,Kentucky,26499,515,182877344.7
Perry,Kentucky,28712,886,0
Madison,Kentucky,82916,1148,426617575.8
Carter,Kentucky,27720,1068,14524086.34
Greenup,Kentucky,36910,914,50915721.46
Knox,Kentucky,31883,1004,33764902.5
Lewis,Kentucky,13870,1276,92959739.14
Clay,Kentucky,21730,1215,115449.3
Shelby,Iowa,12167,1527,527531953.9
Whitley,Kentucky,35637,1148,63946187.6
Bath,Kentucky,11591,737,187446027.5
Lee,Kentucky,7887,544,0
Wolfe,Kentucky,7355,579,3218501.5
Bell,Kentucky,28691,932,1123518.9
Owsley,Kentucky,4755,513,0
Fleming,Kentucky,14348,911,231996796.1
Bracken,Kentucky,8488,543,14217160.14
Campbell,Kentucky,90336,410,14521318.06
Harrison,Kentucky,18846,803,235577126.3
Robertson,Kentucky,2282,261,1672607.08
Boyd,Kentucky,49542,424,199823.94
Audubon,Iowa,6119,1146,344923985.6
Carroll,Missouri,9295,1819,1935750276
Cass,Iowa,13956,1460,766188120.5
Warren,Kentucky,113792,1419,1029344670
Boone,Kentucky,118811,659,145036979.1
Franklin,Kentucky,49285,550,93055880.22
Gallatin,Kentucky,8589,272,21883275.9
Grant,Kentucky,24662,677,21217276.48
Owen,Kentucky,10841,916,87583788.62
Kenton,Kentucky,159720,425,45058136.98
Scott,Kentucky,47173,737,378319911.9
Bullitt,Kentucky,74319,777,195376082.8
Larue,Kentucky,14193,681,519749964.7
Marion,Kentucky,19820,900,365033822.7
Nelson,Kentucky,43437,1100,497633005.7
Spencer,Kentucky,17061,497,159201782.4
Iberville,Louisiana,33387,1690,589904525.4
Montgomery,Iowa,10740,1090,544568369.8
Acadia,Louisiana,61773,1701,2093217526
